WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://0.0.0.0:8000/ (Press CTRL+C to quit)
104.187.193.229 - - [21/Jun/2017 05:01:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021261188-70&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021261189-71&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021271310-72&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021271310-73&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021281217-74&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021281228-75&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021281285-76&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021281293-77&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021291203-78&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021291204-79&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021301222-80&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:47] "POST /socket.io/?EIO=3&transport=polling&t=1498021307216-82&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:47] "GET /socket.io/?EIO=3&transport=polling&t=1498021301223-81&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021308331-83&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:01:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021311294-84&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021311294-85&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021321228-86&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021321228-87&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021331277-88&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:13] "POST /socket.io/?EIO=3&transport=polling&t=1498021333518-90&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:13] "GET /socket.io/?EIO=3&transport=polling&t=1498021331277-89&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021333658-91&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021341397-92&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021341397-93&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021351274-94&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:38] "POST /socket.io/?EIO=3&transport=polling&t=1498021359044-96&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:38] "GET /socket.io/?EIO=3&transport=polling&t=1498021351274-95&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021359150-97&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021361365-98&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021361366-99&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:02:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021371295-100&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021371296-101&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021381284-102&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:04] "POST /socket.io/?EIO=3&transport=polling&t=1498021384843-104&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:04] "GET /socket.io/?EIO=3&transport=polling&t=1498021381284-103&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021384930-105&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021391281-106&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021391282-107&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:21] "POST /socket.io/?EIO=3&transport=polling&t=1498021401610-108&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021411207-110&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021401611-109&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021411282-111&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021411283-112&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:40] "POST /socket.io/?EIO=3&transport=polling&t=1498021421296-113&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021421296-114&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:50] "POST /socket.io/?EIO=3&transport=polling&t=1498021431315-115&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:56] "POST /socket.io/?EIO=3&transport=polling&t=1498021437312-117&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:03:56] "GET /socket.io/?EIO=3&transport=polling&t=1498021431315-116&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021437421-118&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021441320-119&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021441320-120&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021451331-121&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:20] "GET /socket.io/?EIO=3&transport=polling&t=1498021451331-122&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:20] "POST /socket.io/?EIO=3&transport=polling&t=1498021461344-123&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:22] "POST /socket.io/?EIO=3&transport=polling&t=1498021462953-125&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:22] "GET /socket.io/?EIO=3&transport=polling&t=1498021461344-124&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:30] "GET /socket.io/?EIO=3&transport=polling&t=1498021463030-126&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:30] "POST /socket.io/?EIO=3&transport=polling&t=1498021471341-127&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:40] "GET /socket.io/?EIO=3&transport=polling&t=1498021471342-128&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:41] "POST /socket.io/?EIO=3&transport=polling&t=1498021481479-129&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:48] "POST /socket.io/?EIO=3&transport=polling&t=1498021489017-131&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:48] "GET /socket.io/?EIO=3&transport=polling&t=1498021481479-130&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:50] "GET /socket.io/?EIO=3&transport=polling&t=1498021489144-132&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:04:51] "POST /socket.io/?EIO=3&transport=polling&t=1498021491514-133&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:05:00] "GET /socket.io/?EIO=3&transport=polling&t=1498021491514-134&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:05:00] "POST /socket.io/?EIO=3&transport=polling&t=1498021501387-135&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:05:10] "GET /socket.io/?EIO=3&transport=polling&t=1498021501387-136&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:05:10] "POST /socket.io/?EIO=3&transport=polling&t=1498021511403-137&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
104.187.193.229 - - [21/Jun/2017 05:05:14] "POST /socket.io/?EIO=3&transport=polling&t=1498021514798-139&sid=669fce3bf0444eceabcb335d7c3e3d5f HTTP/1.1" 200 -
